,frame,character,emotion,phonem,blinking_choice,eyes_emotion_choice,intensity,eyes_position,mouth_image_path,pause,word,head_direction,screen_mode,background_type,background_name,body_action,body_path,reaction_bool,reaction,zoom,eye_path,head_rotation,head_path,background_path,key
25,25,9,glare,AY1,not_blinking,glare,True,R,./images/mouth/character_9/sad/a_e_s.png,False,guys,L,plain,plain,wall,technical,./images/body/character_9/technical/body35.png,False,glare,1.5,./images/eyes/character_9/side_eyes/glare_2/glare_2_R.png,0,./images/head/character_9/L.png,./images/background/plain/character_9/wall.png,9glareAY1glare_2_RTrueRLplainplainwalltechnicalbody350a_e_s1.5
26,26,9,glare,AY1,not_blinking,glare,True,R,./images/mouth/character_9/sad/a_e_s.png,False,guys,L,plain,plain,wall,technical,./images/body/character_9/technical/body35.png,False,glare,1.5,./images/eyes/character_9/side_eyes/glare_2/glare_2_R.png,0,./images/head/character_9/L.png,./images/background/plain/character_9/wall.png,9glareAY1glare_2_RTrueRLplainplainwalltechnicalbody350a_e_s1.5
27,27,9,glare,AY1,not_blinking,glare,True,R,./images/mouth/character_9/sad/a_e_s.png,False,guys,L,plain,plain,wall,technical,./images/body/character_9/technical/body35.png,False,glare,1.5,./images/eyes/character_9/side_eyes/glare_2/glare_2_R.png,0,./images/head/character_9/L.png,./images/background/plain/character_9/wall.png,9glareAY1glare_2_RTrueRLplainplainwalltechnicalbody350a_e_s1.5
28,28,9,glare,Z,not_blinking,glare,True,R,./images/mouth/character_9/sad/d_j_ch_s.png,False,guys,L,plain,plain,wall,technical,./images/body/character_9/technical/body35.png,False,glare,1.5,./images/eyes/character_9/side_eyes/glare_2/glare_2_R.png,0,./images/head/character_9/L.png,./images/background/plain/character_9/wall.png,9glareZglare_2_RTrueRLplainplainwalltechnicalbody350d_j_ch_s1.5
29,29,9,glare,Z,not_blinking,glare,True,R,./images/mouth/character_9/sad/d_j_ch_s.png,False,guys,L,plain,plain,wall,technical,./images/body/character_9/technical/body35.png,False,glare,1.5,./images/eyes/character_9/side_eyes/glare_2/glare_2_R.png,0,./images/head/character_9/L.png,./images/background/plain/character_9/wall.png,9glareZglare_2_RTrueRLplainplainwalltechnicalbody350d_j_ch_s1.5
30,30,9,glare,Z,not_blinking,glare,True,R,./images/mouth/character_9/sad/d_j_ch_s.png,False,guys,L,plain,plain,wall,technical,./images/body/character_9/technical/body35.png,False,glare,1.5,./images/eyes/character_9/side_eyes/glare_2/glare_2_R.png,0,./images/head/character_9/L.png,./images/background/plain/character_9/wall.png,9glareZglare_2_RTrueRLplainplainwalltechnicalbody350d_j_ch_s1.5
31,31,9,sad,,not_blinking,glare,True,R,./images/mouth/character_9/sad/m_b_close_s.png,True,,L,plain,plain,wall,technical,./images/body/character_9/technical/body35.png,False,glare,1.5,./images/eyes/character_9/side_eyes/glare_2/glare_2_R.png,0,./images/head/character_9/L.png,./images/background/plain/character_9/wall.png,9sadnanglare_2_RTrueRLplainplainwalltechnicalbody350m_b_close_s1.5
32,32,9,glare,AY1,not_blinking,glare,True,R,./images/mouth/character_9/sad/a_e_s.png,False,I'm,L,plain,plain,wall,technical,./images/body/character_9/technical/body35.png,False,glare,1.5,./images/eyes/character_9/side_eyes/glare_2/glare_2_R.png,0,./images/head/character_9/L.png,./images/background/plain/character_9/wall.png,9glareAY1glare_2_RTrueRLplainplainwalltechnicalbody350a_e_s1.5
33,33,9,glare,AY1,not_blinking,glare,True,R,./images/mouth/character_9/sad/a_e_s.png,False,I'm,L,plain,plain,wall,technical,./images/body/character_9/technical/body35.png,False,glare,1.5,./images/eyes/character_9/side_eyes/glare_2/glare_2_R.png,0,./images/head/character_9/L.png,./images/background/plain/character_9/wall.png,9glareAY1glare_2_RTrueRLplainplainwalltechnicalbody350a_e_s1.5
34,34,9,glare,AY1,not_blinking,glare,True,R,./images/mouth/character_9/sad/a_e_s.png,False,I'm,L,plain,plain,wall,technical,./images/body/character_9/technical/body35.png,False,glare,1.5,./images/eyes/character_9/side_eyes/glare_2/glare_2_R.png,0,./images/head/character_9/L.png,./images/background/plain/character_9/wall.png,9glareAY1glare_2_RTrueRLplainplainwalltechnicalbody350a_e_s1.5
