character,emotion,intensity,head_direction,eyes_direction,screen_mode,body_action,reaction_bool,word,init,final,room
,,,,,,,,file,82.86,82.89,
,,,,,,,,I,83.02,83.14,
,,,,,,,,can,83.139999,83.329999,
,,,,,,,,switch,83.33,83.6,
,,,,,,,,between,83.599999,83.939999,
,,,,,,,,different,83.94,84.3,
,,,,,,,,characters,84.3,84.82,
,,,,,,,,like,85.219999,85.469999,
,,,,,,,,this,85.469999,85.729999,
,,,,,,,,like,86.32,86.5,
,,,,,,,,this,86.5,86.78,
,,,,,,,,this,87.46000000000001,87.74000000000001,
,,,,,,,,huh,88.459999,88.86999899999999,
,,,,,,,,cool,89.1,89.32,
,,,,,,,,right,89.32,89.72,
,,,,,,,,you,90.33,90.52,
,,,,,,,,can,90.52,90.88,
,,,,,,,,use,90.93,91.30000000000001,
,,,,,,,,your,91.3,91.46,
,,,,,,,,custom,91.69999999999999,92.08,
,,,,,,,,character,92.08,92.46,
,,,,,,,,too,92.46,92.78999999999999,
,,,,,,,,which,93.30999999999999,93.58,
,,,,,,,,I,93.78,93.79,
,,,,,,,,will,93.79,93.85000000000001,
,,,,,,,,explain,93.85,94.25999999999999,
,,,,,,,,in,94.27,94.41,
,,,,,,,,a,94.41,94.46,
,,,,,,,,different,94.46,94.85,
,,,,,,,,video,94.85,95.36999999999999,
,,,,,,,,AND,95.41,95.71,
,,,,,,,,the,95.72,95.86,
,,,,,,,,working,95.9,96.29,
,,,,,,,,of,96.3,96.48,
,,,,,,,,this,96.48,96.65,
,,,,,,,,software,96.65,97.0,
,,,,,,,,if,97.01,97.28,
,,,,,,,,you,97.88,97.97,
,,,,,,,,like,97.97,98.22,
,,,,,,,,the,98.22,98.36,
,,,,,,,,idea,98.36,98.78,
,,,,,,,,I,98.8,98.92,
,,,,,,,,can,98.92,99.14,
,,,,,,,,make,99.139999,99.419999,
,,,,,,,,this,99.42,99.62,
,,,,,,,,software,99.62,100.14,
,,,,,,,,publicly,100.16,100.81,
,,,,,,,,available,100.84,101.41,
,,,,,,,,for,101.44,101.62,
,,,,,,,,you,101.63,101.83,
,,,,,,,,guys,101.849999,102.189999,
,,,,,,,,through,102.53,102.73,
,,,,,,,,a,102.759999,102.83999899999999,
,,,,,,,,website,102.84,103.52000000000001,
,,,,,,,,please,104.03999999999999,104.35999999999999,
,,,,,,,,do,104.38,104.6,
,,,,,,,,share,104.599999,104.86999899999999,
,,,,,,,,your,104.87,105.08,
,,,,,,,,thoughts,105.099999,105.719999,
,,,,,,,,and,105.86,106.36,
,,,,,,,,subscribe,106.619999,107.199999,
,,,,,,,,to,107.19999899999999,107.36999899999999,
,,,,,,,,my,107.369999,107.54999900000001,
,,,,,,,,channel,107.549999,107.899999,
,,,,,,,,ok,108.49,108.85,
,,,,,,,,I,109.54,109.63000000000001,
,,,,,,,,WILL,109.63,109.82,
,,,,,,,,SEE,109.82,110.05,
,,,,,,,,YOU,110.05,110.42,
,,,,,,,,IN,110.46,110.61999999999999,
,,,,,,,,THE,110.64,110.69,
,,,,,,,,NEXT,110.69,110.99,
,,,,,,,,VIDEO,110.99,111.36,
,,,,,,,,TAKE,111.73,111.93,
,,,,,,,,CARE,111.93,112.18,
,,,,,,,,bye,112.23,112.63000000000001,
